image,hasHandRaise
508896205_640_notRaised.jpg,N
class1_notRaised.jpg,N
classrooms-julian-germain-20_notRaised.jpg,N
Duques-5002 450x256_notRaised.jpg,N
images (1)_notRaised.jpg,N
images (10)_notRaised.jpg,N
images (11)_notRaised.jpg,N
images (12)_notRaised.jpg,N
images (13)_notRaised.jpg,N
images (14)_notRaised.jpg,N
images (15)_notRaised.jpg,N
images (16)_notRaised.jpg,N
images (17)_notRaised.jpg,N
images (18)_notRaised.jpg,N
images (19)_notRaised.jpg,N
images (2)_notRaised.jpg,N
images (20)_notRaised.jpg,N
images (21)_notRaised.jpg,N
images (22)_notRaised.jpg,N
images (23)_notRaised.jpg,N
images (24)_notRaised.jpg,N
images (25)_notRaised.jpg,N
images (26)_notRaised.jpg,N
images (27)_notRaised.jpg,N
images (28)_notRaised.jpg,N
images (29)_notRaised.jpg,N
images (3)_notRaised.jpg,N
images (30)_notRaised.jpg,N
images (31)_notRaised.jpg,N
images (32)_notRaised.jpg,N
images (33)_notRaised.jpg,N
images (34)_notRaised.jpg,N
images (35)_notRaised.jpg,N
images (36)_notRaised.jpg,N
images (37)_notRaised.jpg,N
images (38)_notRaised.jpg,N
images (39)_notRaised.jpg,N
images (4)_notRaised.jpg,N
images (40)_notRaised.jpg,N
images (41)_notRaised.jpg,N
images (42)_notRaised.jpg,N
images (43)_notRaised.jpg,N
images (44)_notRaised.jpg,N
images (45)_notRaised.jpg,N
images (46)_notRaised.jpg,N
images (47)_notRaised.jpg,N
images (48)_notRaised.jpg,N
images (49)_notRaised.jpg,N
images (5)_notRaised.jpg,N
images (50)_notRaised.jpg,N
images (51)_notRaised.jpg,N
images (52)_notRaised.jpg,N
images (53)_notRaised.jpg,N
images (54)_notRaised.jpg,N
images (55)_notRaised.jpg,N
images (56)_notRaised.jpg,N
images (57)_notRaised.jpg,N
images (58)_notRaised.jpg,N
images (59)_notRaised.jpg,N
images (6)_notRaised.jpg,N
images (60)_notRaised.jpg,N
images (61)_notRaised.jpg,N
images (62)_notRaised.jpg,N
images (63)_notRaised.jpg,N
images (64)_notRaised.jpg,N
images (65)_notRaised.jpg,N
images (66)_notRaised.jpg,N
images (67)_notRaised.jpg,N
images (68)_notRaised.jpg,N
images (69)_notRaised.jpg,N
images (7)_notRaised.jpg,N
images (70)_notRaised.jpg,N
images (71)_notRaised.jpg,N
images (72)_notRaised.jpg,N
images (73)_notRaised.jpg,N
images (8)_notRaised.jpg,N
images (9)_notRaised.jpg,N
images_notRaised.jpg,N
IMG_8167_notRaised.jpg,N
jinego_elementary_school_1st_grade_classroom_back_notRaised.jpg,N
notRaised.txt,N
pretty-woman-raising-her-hands-white-background-53074565_notRaised.jpg,N
SM-K-Classroom2_notRaised.jpg,N
102487488_raised.jpg,Y
108036277_raised.jpg,Y
1448201104_raised.jpg,Y
42-19862205_raised.jpg,Y
500081007_raised.jpg,Y
506593009_raised.jpg,Y
630-01873567em-Rear-view-of-a-schoolboy-in-a-classroom-with-his-hand-raised_raised.jpg,Y
6_raised.jpg,Y
african-american-schoolgirl-raised-hand-class-10905109_raised.jpg,Y
best_kid_raising_hand2_raised.jpg,Y
classroom-teacher-pupil-hand-raised-400x271_raised.jpg,Y
Classroom-Wikimedia-10.09.13_raised.jpg,Y
9123594_raised.jpg,Y
download (1)_raised.jpg,Y
download (2)_raised.jpg,Y
download_raised.jpg,Y
Girl-with-Hand-Raised-2010-112_raised.jpg,Y
images (1)_raised.jpg,Y
images (10)_raised.jpg,Y
images (11)_raised.jpg,Y
images (12)_raised.jpg,Y
images (13)_raised.jpg,Y
images (14)_raised.jpg,Y
images (15)_raised.jpg,Y
images (16)_raised.jpg,Y
images (17)_raised.jpg,Y
images (18)_raised.jpg,Y
images (19)_raised.jpg,Y
images (2)_raised.jpg,Y
images (20)_raised.jpg,Y
images (21)_raised.jpg,Y
images (22)_raised.jpg,Y
images (23)_raised.jpg,Y
images (24)_raised.jpg,Y
images (25)_raised.jpg,Y
images (26)_raised.jpg,Y
images (27)_raised.jpg,Y
images (28)_raised.jpg,Y
images (29)_raised.jpg,Y
images (3)_raised.jpg,Y
images (30)_raised.jpg,Y
images (31)_raised.jpg,Y
images (32)_raised.jpg,Y
images (33)_raised.jpg,Y
images (34)_raised.jpg,Y
images (35)_raised.jpg,Y
images (36)_raised.jpg,Y
images (37)_raised.jpg,Y
images (38)_raised.jpg,Y
images (39)_raised.jpg,Y
images (4)_raised.jpg,Y
images (40)_raised.jpg,Y
images (41)_raised.jpg,Y
images (42)_raised.jpg,Y
images (43)_raised.jpg,Y
images (44)_raised.jpg,Y
images (45)_raised.jpg,Y
images (46)_raised.jpg,Y
images (47)_raised.jpg,Y
images (5)_raised.jpg,Y
images (6)_raised.jpg,Y
images (7)_raised.jpg,Y
images (8)_raised.jpg,Y
images (9)_raised.jpg,Y
images_raised.jpg,Y
raise-hand_raised.jpg,Y
raised.txt,Y
rear-view-of-a-schoolboy-in-a-classroom-with-his-hand-raised-atp31y_raised.jpg,Y
Slide43_raised.jpg,Y
stock-photo-19556559-young-woman-raises-hand_raised.jpg,Y
students_making_conjectures_raised.jpg,Y
yogaNotRaisedHand_raised.jpg,Y
Zumba-woman-raising-hand_raised.jpg,Y
